Round,Event,Short_Name,Circuit,Lenght_kms,Lenght_mil,Record_Time,Estimate_Time,Laps,Qualy_Laps
5,Monaco Grand Prix,monaco,Circuit de Monaco,3.337,2.074,1.10,1.17,78,20
10,British Grand Prix,silverstone,Silverstone Circuit,3.703,2.301,1.24,1.33,52,13
12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,4.262,2.648,1.41,1.51,50,13
13,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,4.259,2.646,1.08,1.16,72,18
22,Abu Dhabi Grand Prix,abudhabi,Yas Marina Circuit,5.281,3.281,1.22,1.42,58,15
